"filename", "language", "JSON with Comments", "TypeScript", "JavaScript", "JSON", "Markdown", "XML", "TypeScript JSX", "CSS", "comment", "blank", "total"
"e:\Personnel\portfolio-dev\README.md", "Markdown", 0, 0, 0, 0, 41, 0, 0, 0, 0, 12, 53
"e:\Personnel\portfolio-dev\eslint.config.mjs", "JavaScript", 0, 0, 12, 0, 0, 0, 0, 0, 0, 5, 17
"e:\Personnel\portfolio-dev\next.config.ts", "TypeScript", 0, 4, 0, 0, 0, 0, 0, 0, 1, 3, 8
"e:\Personnel\portfolio-dev\package-lock.json", "JSON", 0, 0, 0, 5944, 0, 0, 0, 0, 0, 1, 5945
"e:\Personnel\portfolio-dev\package.json", "JSON", 0, 0, 0, 29, 0, 0, 0, 0, 0, 1, 30
"e:\Personnel\portfolio-dev\postcss.config.mjs", "JavaScript", 0, 0, 6, 0, 0, 0, 0, 0, 1, 2, 9
"e:\Personnel\portfolio-dev\public\file.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"e:\Personnel\portfolio-dev\public\globe.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"e:\Personnel\portfolio-dev\public\next.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"e:\Personnel\portfolio-dev\public\vercel.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"e:\Personnel\portfolio-dev\public\window.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"e:\Personnel\portfolio-dev\src\app\about-me\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 20, 0, 1, 1, 22
"e:\Personnel\portfolio-dev\src\app\contact\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 80, 0, 1, 4, 85
"e:\Personnel\portfolio-dev\src\app\globals.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 18, 0, 4, 22
"e:\Personnel\portfolio-dev\src\app\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 30, 0, 0, 5, 35
"e:\Personnel\portfolio-dev\src\app\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 18, 0, 0, 2, 20
"e:\Personnel\portfolio-dev\src\app\projects\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 14, 0, 0, 1, 15
"e:\Personnel\portfolio-dev\src\app\tech-stack\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 14, 0, 0, 1, 15
"e:\Personnel\portfolio-dev\src\components\Curriculum.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 100, 0, 3, 7, 110
"e:\Personnel\portfolio-dev\src\components\Footer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 47, 0, 2, 5, 54
"e:\Personnel\portfolio-dev\src\components\Greatings.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 32, 0, 0, 5, 37
"e:\Personnel\portfolio-dev\src\components\Header.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 34, 0, 0, 4, 38
"e:\Personnel\portfolio-dev\src\components\ProjectCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 46, 0, 0, 5, 51
"e:\Personnel\portfolio-dev\src\components\Projects.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 56, 0, 1, 6, 63
"e:\Personnel\portfolio-dev\src\components\TechStack.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 80, 0, 0, 3, 83
"e:\Personnel\portfolio-dev\tailwind.config.js", "JavaScript", 0, 0, 16, 0, 0, 0, 0, 0, 1, 0, 17
"e:\Personnel\portfolio-dev\tailwind.config.ts", "TypeScript", 0, 17, 0, 0, 0, 0, 0, 0, 0, 2, 19
"e:\Personnel\portfolio-dev\tsconfig.json", "JSON with Comments", 28, 0, 0, 0, 0, 0, 0, 0, 0, 1, 29
"Total", "-", 28, 21, 34, 5973, 41, 5, 571, 18, 11, 80, 6782